percentage_of_viral_covered_log_retweets_over_log_followers,nb_of_tweets_labeled_as_viral_log_retweets_over_log_followers,thresholds_log_retweets_over_log_followers
1.0,31041,0.6240002852947716
0.9890873015873016,16933,0.7230443483570232
0.9791666666666666,14286,0.7484793180463
0.9692460317460317,12783,0.7640086373583896
0.9593253968253969,12034,0.7726483778092785
0.9494047619047619,11239,0.7818005566060252
0.939484126984127,10668,0.7889122408794803
0.9295634920634921,10231,0.7936671192146495
0.9196428571428571,9768,0.7997056994974557
0.9097222222222222,9436,0.8038518801656075
0.8998015873015873,9235,0.8063837662960968
0.8898809523809523,8823,0.8121718746758682
0.8799603174603174,8537,0.8158236353302109
0.8700396825396826,8191,0.8201902577121126
0.8601190476190477,7913,0.8243482587654483
0.8492063492063492,7660,0.8282315008546971
0.8392857142857143,7401,0.8321194850614858
0.8293650793650794,7125,0.8367692646747009
0.8194444444444444,6820,0.8417075589387941
0.8095238095238095,6728,0.8431442930562224
0.7996031746031746,6515,0.8466514160755445
0.7896825396825397,6358,0.8493448528501626
0.7797619047619048,6129,0.8531910961698003
0.7698412698412699,5987,0.8559459884429319
0.7599206349206349,5814,0.8589762954909695
0.75,5607,0.8625694432138333
0.7400793650793651,5439,0.8656201351014363
0.7301587301587301,5187,0.8702700733610532
0.7202380952380952,5043,0.8733238070593741
0.7093253968253969,4908,0.8762024305187027
0.6994047619047619,4644,0.8816572865395638
0.689484126984127,4421,0.8867262402778523
0.6795634920634921,4343,0.8884327201390895
0.6696428571428571,4234,0.8909887319607015
0.6597222222222222,4098,0.8946920241479999
0.6498015873015873,3976,0.8971731862315426
0.6398809523809523,3866,0.9000547970039445
0.6299603174603174,3718,0.90335209700547
0.6200396825396826,3581,0.9074973981023631
0.6101190476190477,3415,0.9118727064143507
0.6001984126984127,3203,0.918171233112645
0.5902777777777778,3057,0.9223133679230249
0.5803571428571429,2954,0.9257993297998169
0.5694444444444444,2785,0.9314740928203532
0.5595238095238095,2614,0.9370237927380607
0.5496031746031746,2523,0.9403613239507382
0.5396825396825397,2450,0.9431937683554847
0.5297619047619048,2376,0.9461150743517935
0.5198412698412699,2275,0.9504137942708433
0.5099206349206349,2189,0.9537739623026252
0.5,2095,0.9570957173459096
0.49007936507936506,2006,0.9611672660302412
0.4801587301587302,1905,0.9655758384839201
0.47023809523809523,1831,0.9686141408612416
0.4603174603174603,1781,0.9715297580192088
0.4503968253968254,1692,0.9762955472165364
0.44047619047619047,1633,0.9790934785418005
0.4305555555555556,1561,0.9831903649682059
0.41964285714285715,1499,0.9865132333995609
0.4097222222222222,1417,0.9918971124207675
0.3998015873015873,1341,0.9972496209976179
0.3898809523809524,1281,1.0016513621903245
0.37996031746031744,1237,1.0053147119107226
0.37003968253968256,1160,1.012688867600473
0.3601190476190476,1074,1.0190172621424873
0.3501984126984127,1035,1.0230244967357478
0.3402777777777778,984,1.0277467024345215
0.33035714285714285,914,1.035761826178403
0.32043650793650796,871,1.0416438955273315
0.310515873015873,812,1.048103007385223
0.3005952380952381,770,1.0524500566259047
0.2906746031746032,721,1.060571954677911
0.27976190476190477,663,1.0691477573528578
0.2698412698412698,609,1.0775125729219717
0.25992063492063494,573,1.0840944112778226
0.25,540,1.0893285138897673
0.2400793650793651,508,1.0950675043632472
0.23015873015873015,472,1.1020695947838788
0.22023809523809523,436,1.1083128293352051
0.21031746031746032,399,1.1160912776174
0.2003968253968254,362,1.1254166588926875
0.19047619047619047,334,1.1355234542124109
0.18055555555555555,294,1.1487927586475322
0.17063492063492064,270,1.1596741156004886
0.16071428571428573,238,1.183222859975457
0.15079365079365079,221,1.191433139144886
0.13988095238095238,201,1.2048894357033295
0.12996031746031747,181,1.2226659947251466
0.12003968253968254,163,1.237761303530253
0.11011904761904762,149,1.2546164327696954
0.1001984126984127,124,1.2884022960547663
0.09027777777777778,113,1.3061771441754433
0.08035714285714286,100,1.3250067925542386
0.07043650793650794,86,1.342219079933877
0.060515873015873016,70,1.3793064865985623
0.050595238095238096,59,1.397787734828259
0.040674603174603176,45,1.4578807811516883
0.030753968253968252,34,1.5487864668450748
0.020833333333333332,23,1.6432671810611028
0.010912698412698412,11,1.7468918034538925
0.000992063492063492,1,2.143417655682428
