percentage_of_viral_covered_retweets_over_log_followers,nb_of_tweets_labeled_as_viral_retweets_over_log_followers,thresholds_retweets_over_log_followers
1.0,24647,96.18719446805103
0.9890873015873016,16064,195.41188564042682
0.9791666666666666,13979,244.9501617824125
0.9692460317460317,13013,272.4577979927763
0.9593253968253969,12079,304.2604884972614
0.9494047619047619,11501,326.7121276970904
0.939484126984127,10899,351.11195753265446
0.9295634920634921,10240,379.36847411850994
0.9196428571428571,10033,389.38471901077924
0.9097222222222222,9560,411.73768652001644
0.8998015873015873,9298,425.4498120093774
0.8898809523809523,8904,446.87607462645417
0.8799603174603174,8452,476.55673451118935
0.8700396825396826,8235,491.0665617707924
0.8601190476190477,8058,502.77030023552385
0.8492063492063492,7973,509.5041443087782
0.8392857142857143,7800,523.7004888975509
0.8293650793650794,7603,539.923690961875
0.8194444444444444,7357,560.2436517890462
0.8095238095238095,7157,576.0696671571288
0.7996031746031746,7011,587.5531675251212
0.7896825396825397,6797,608.3009252958204
0.7797619047619048,6566,631.0274981581211
0.7698412698412699,6444,641.222980944397
0.7599206349206349,6301,655.3005304817065
0.75,6151,671.9318091327671
0.7400793650793651,6008,687.8141314252327
0.7301587301587301,5846,706.1316731892126
0.7202380952380952,5736,718.2535271058875
0.7093253968253969,5524,745.3425802314556
0.6994047619047619,5400,760.2850310752603
0.689484126984127,5234,781.4194696938304
0.6795634920634921,5109,800.5203812652611
0.6696428571428571,5037,811.3520395758455
0.6597222222222222,4901,832.7804952963619
0.6498015873015873,4786,849.9546866922489
0.6398809523809523,4672,870.5048665882368
0.6299603174603174,4558,889.5148546157745
0.6200396825396826,4423,913.4868359265707
0.6101190476190477,4366,923.3244117903994
0.6001984126984127,4297,934.7004834106867
0.5902777777777778,4189,954.8779497176456
0.5803571428571429,4107,972.2112451667427
0.5694444444444444,4022,994.8012552878178
0.5595238095238095,3948,1010.3955348603816
0.5496031746031746,3868,1027.9967506835908
0.5396825396825397,3733,1060.6487591725645
0.5297619047619048,3664,1078.0676366493603
0.5198412698412699,3581,1099.8695901550593
0.5099206349206349,3454,1133.927886665909
0.5,3403,1146.3720700339513
0.49007936507936506,3309,1173.011743073717
0.4801587301587302,3237,1192.4468751700258
0.47023809523809523,3181,1210.132391580637
0.4603174603174603,3144,1221.3638625370725
0.4503968253968254,3040,1252.4280115900583
0.44047619047619047,2982,1273.901632813587
0.4305555555555556,2900,1301.7988554511148
0.41964285714285715,2824,1327.1136527390647
0.4097222222222222,2693,1366.6130386272125
0.3998015873015873,2629,1392.3103276130262
0.3898809523809524,2589,1408.5466934453984
0.37996031746031744,2500,1440.5856788553633
0.37003968253968256,2406,1483.3271367722798
0.3601190476190476,2357,1506.1373828761034
0.3501984126984127,2310,1527.467028791344
0.3402777777777778,2204,1578.2817061633984
0.33035714285714285,2150,1609.3989544747326
0.32043650793650796,2076,1658.641956527047
0.310515873015873,1984,1711.5371500241918
0.3005952380952381,1918,1753.2702562983825
0.2906746031746032,1857,1791.705607659909
0.27976190476190477,1813,1818.039475418674
0.2698412698412698,1753,1852.2105720993286
0.25992063492063494,1693,1888.1800931525004
0.25,1646,1924.0614094625103
0.2400793650793651,1595,1957.2434949168635
0.23015873015873015,1508,2016.6788884308942
0.22023809523809523,1424,2083.2008109637877
0.21031746031746032,1354,2133.4300161851493
0.2003968253968254,1296,2181.038558435724
0.19047619047619047,1253,2218.5893192510925
0.18055555555555555,1187,2298.6494790579704
0.17063492063492064,1153,2343.3129244431043
0.16071428571428573,1089,2409.9784637782077
0.15079365079365079,1043,2465.783943579372
0.13988095238095238,995,2512.2825954364475
0.12996031746031747,903,2644.884840422699
0.12003968253968254,847,2720.031974699821
0.11011904761904762,776,2855.125879628761
0.1001984126984127,691,3057.4880652118327
0.09027777777777778,634,3191.2654159655003
0.08035714285714286,579,3300.3631730935804
0.07043650793650794,522,3443.658749880984
0.060515873015873016,450,3670.968448884167
0.050595238095238096,366,4018.4875984146765
0.040674603174603176,280,4475.92163141317
0.030753968253968252,253,4696.706526876823
0.020833333333333332,164,5331.458638244872
0.010912698412698412,82,6411.553184403061
0.000992063492063492,14,10241.747512102276
