percentage_of_viral_covered_roberta_paper_metric,nb_of_tweets_labeled_as_viral_roberta_paper_metric,thresholds_roberta_paper_metric
1.0,783980,9.052889576573479e-05
0.9890873015873016,606979,0.0003409942258809795
0.9791666666666666,474954,0.0008589343284472877
0.9692460317460317,341935,0.002285587114824846
0.9593253968253969,225314,0.0059620822317802535
0.9494047619047619,156999,0.011989569411313709
0.939484126984127,115968,0.020634770088828545
0.9295634920634921,90944,0.03106544666018859
0.9196428571428571,67477,0.04963223513274843
0.9097222222222222,53428,0.07044762254504668
0.8998015873015873,44279,0.0931967814168663
0.8898809523809523,35102,0.13081025220011888
0.8799603174603174,28663,0.1745575677179806
0.8700396825396826,24972,0.21250227357914633
0.8601190476190477,22479,0.2465673793342506
0.8492063492063492,20166,0.2869145938607858
0.8392857142857143,19304,0.304132160348205
0.8293650793650794,17811,0.3390347868176622
0.8194444444444444,16677,0.3732660056369872
0.8095238095238095,15401,0.4148045252952486
0.7996031746031746,14505,0.4477972728644806
0.7896825396825397,13194,0.5055156298192968
0.7797619047619048,12508,0.5409698646849892
0.7698412698412699,11931,0.5754220771104159
0.7599206349206349,11316,0.6182192984983755
0.75,10726,0.6646019719884612
0.7400793650793651,10314,0.7019883742889699
0.7301587301587301,9788,0.750920049260784
0.7202380952380952,9007,0.8391207342688993
0.7093253968253969,8603,0.888609564785895
0.6994047619047619,8206,0.9414799820328927
0.689484126984127,7661,1.0212425782882102
0.6795634920634921,7289,1.0890041480074235
0.6696428571428571,6780,1.1855272483643158
0.6597222222222222,6467,1.2602164579934503
0.6498015873015873,6161,1.327281088505106
0.6398809523809523,5882,1.4051718048191333
0.6299603174603174,5321,1.5835118067715899
0.6200396825396826,4966,1.722560123794516
0.6101190476190477,4686,1.8317436498146948
0.6001984126984127,4484,1.9245385016106697
0.5902777777777778,4249,2.051449708767312
0.5803571428571429,4128,2.125304741103856
0.5694444444444444,3687,2.4125368969101033
0.5595238095238095,3468,2.583086678098461
0.5496031746031746,3248,2.7815895186317805
0.5396825396825397,3152,2.8954501822960066
0.5297619047619048,3081,2.955250022079203
0.5198412698412699,2908,3.1785787340504648
0.5099206349206349,2707,3.428223279567193
0.5,2593,3.59870356795998
0.49007936507936506,2502,3.7528407022738315
0.4801587301587302,2384,3.9638262404902136
0.47023809523809523,2157,4.4262194471708876
0.4603174603174603,2041,4.7390803022779195
0.4503968253968254,1956,4.94650983750502
0.44047619047619047,1898,5.125327551050057
0.4305555555555556,1743,5.658337935222293
0.41964285714285715,1669,5.972958366751632
0.4097222222222222,1590,6.348934235182757
0.3998015873015873,1476,6.895417771804837
0.3898809523809524,1381,7.553164524632679
0.37996031746031744,1318,7.95447265160399
0.37003968253968256,1182,8.841857620201926
0.3601190476190476,1082,9.709458682853722
0.3501984126984127,1013,10.492987863082893
0.3402777777777778,967,11.162073579916996
0.33035714285714285,914,11.924377006525063
0.32043650793650796,868,12.499962631113736
0.310515873015873,830,13.104004547610508
0.3005952380952381,776,14.116974236232336
0.2906746031746032,710,15.75957395134853
0.27976190476190477,656,17.503118276572664
0.2698412698412698,617,18.715704509161537
0.25992063492063494,589,19.614803085421624
0.25,530,21.76810557585511
0.2400793650793651,493,23.383787555656212
0.23015873015873015,440,27.26674857348407
0.22023809523809523,413,29.10383773593751
0.21031746031746032,376,32.10956578521053
0.2003968253968254,354,34.49758353529179
0.19047619047619047,327,37.27337021039718
0.18055555555555555,300,41.873141561514856
0.17063492063492064,272,48.023909569922445
0.16071428571428573,241,54.36857680039037
0.15079365079365079,216,61.84780146447067
0.13988095238095238,197,70.16356545125636
0.12996031746031747,178,82.08798118734508
0.12003968253968254,164,90.38189281594519
0.11011904761904762,149,99.31178628400392
0.1001984126984127,128,114.91598022184297
0.09027777777777778,114,126.08462267664385
0.08035714285714286,97,157.76121015148178
0.07043650793650794,81,195.60887797794308
0.060515873015873016,68,220.9913721970096
0.050595238095238096,57,261.8047511787649
0.040674603174603176,47,319.3778539107914
0.030753968253968252,34,463.6375267632411
0.020833333333333332,22,642.3126335309646
0.010912698412698412,11,913.2204554544222
0.000992063492063492,1,3533.739728797425
