percentage_of_viral_covered_virality_avg_retweets,nb_of_tweets_labeled_as_viral_virality_avg_retweets,thresholds_virality_avg_retweets
1.0,99470,0.7599240299001586
0.9890873015873016,62079,1.5480748118436458
0.9791666666666666,50271,2.0852622686277305
0.9692460317460317,43642,2.5354184580479755
0.9593253968253969,37923,3.0599798377048133
0.9494047619047619,34261,3.4972565994343037
0.939484126984127,30526,4.072360076314477
0.9295634920634921,28223,4.501034715181624
0.9196428571428571,26082,4.999137001078749
0.9097222222222222,24560,5.39307122938644
0.8998015873015873,21629,6.278415213300843
0.8898809523809523,20244,6.807979662864933
0.8809523809523809,19770,7.0
0.8700396825396826,17741,7.978472899264016
0.8601190476190477,17036,8.371478269233975
0.8492063492063492,15873,9.0580071984413
0.8392857142857143,14621,9.997273862423672
0.8293650793650794,13090,11.388669220662166
0.8194444444444444,11889,12.681181379795396
0.8095238095238095,11077,13.707925776186906
0.7996031746031746,9920,15.580116677414129
0.7896825396825397,9532,16.27014209744153
0.7797619047619048,9205,16.915461328983927
0.7698412698412699,8483,18.548537529332275
0.7599206349206349,8060,19.641355294192593
0.75,7589,20.906896682604128
0.7400793650793651,6999,22.874625271719133
0.7301587301587301,6475,25.012739959261822
0.7202380952380952,6079,26.954204438555614
0.7093253968253969,5808,28.183043893453764
0.6994047619047619,5385,30.602140549030686
0.689484126984127,5052,32.567920421715776
0.6795634920634921,4677,35.74808318428063
0.6696428571428571,4393,38.21854701763988
0.6597222222222222,4164,40.57703645974158
0.6498015873015873,3886,43.93985563230335
0.6398809523809523,3665,46.847492839618525
0.6299603174603174,3524,49.07891508810281
0.6200396825396826,3193,54.78245772103394
0.6101190476190477,3103,56.50224523966051
0.6001984126984127,2892,60.763416151670796
0.5902777777777778,2770,63.546233103760386
0.5803571428571429,2584,68.03407090113993
0.5694444444444444,2484,70.65733437208469
0.5595238095238095,2391,73.26624858192154
0.5496031746031746,2252,78.06253536357954
0.5396825396825397,2052,86.08126921842629
0.5297619047619048,1975,88.97259652512547
0.5198412698412699,1831,96.64859215298337
0.5099206349206349,1723,102.7628034997729
0.5,1611,110.04173671014203
0.49007936507936506,1523,117.28492475872802
0.4801587301587302,1444,124.34249552435475
0.47023809523809523,1369,130.09518134268558
0.4603174603174603,1290,140.8240668782626
0.4503968253968254,1200,150.88390964671086
0.44047619047619047,1145,157.99851670144255
0.4305555555555556,1101,164.50275477412396
0.41964285714285715,1034,175.0797930343889
0.4097222222222222,963,187.94005117417709
0.3998015873015873,920,193.56605517288256
0.3898809523809524,875,202.1903749398219
0.37996031746031744,822,216.09849275103548
0.37003968253968256,767,235.05164885003057
0.3601190476190476,730,249.2392647610653
0.3501984126984127,693,264.6301245685592
0.3402777777777778,657,275.9762698041734
0.33035714285714285,623,292.8722993281888
0.32043650793650796,578,310.3159564904467
0.310515873015873,546,330.0766694728744
0.3005952380952381,507,362.2200443714963
0.2906746031746032,474,384.5033519093221
0.27976190476190477,444,408.7457694650668
0.2698412698412698,421,446.810815150956
0.25992063492063494,384,485.52769942049525
0.25,367,506.6784740394677
0.2400793650793651,348,533.9551789024323
0.23015873015873015,327,551.4285181823311
0.22023809523809523,303,599.4004450619773
0.21031746031746032,286,634.4445375768611
0.2003968253968254,266,691.4859160249838
0.19047619047619047,248,741.7820711022046
0.18055555555555555,232,786.2690567569583
0.17063492063492064,219,815.3028458797158
0.16071428571428573,201,866.7503880337599
0.15079365079365079,182,976.0304653073382
0.13988095238095238,171,1058.1367647948662
0.12996031746031747,156,1119.7867538390494
0.12003968253968254,136,1253.92530228473
0.11011904761904762,123,1367.2655234393055
0.1001984126984127,112,1440.1384708594214
0.09027777777777778,102,1482.542530248446
0.08035714285714286,88,1637.9180724687665
0.07043650793650794,74,1862.5270685892517
0.060515873015873016,62,2003.0277986460685
0.050595238095238096,51,2152.268107221841
0.040674603174603176,41,2303.2090263636537
0.030753968253968252,31,2500.869915344092
0.020833333333333332,21,2581.3315487148006
0.010912698412698412,11,2754.925734752474
0.000992063492063492,1,3128.6932364568866
