percentage_of_viral_covered_virality_median_retweets,nb_of_tweets_labeled_as_viral_virality_median_retweets,thresholds_virality_median_retweets
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
1.0,511764,0.0
0.32242063492063494,134409,1.0
0.310515873015873,86051,2.6456794555995926
0.3005952380952381,61961,5.027143821742062
0.2906746031746032,45428,9.636950619740496
0.27976190476190477,28429,23.02300286355545
0.2698412698412698,22643,34.6215403148756
0.25992063492063494,17026,55.781783181357575
0.25,14577,71.5297497155859
0.2400793650793651,12130,95.42360795606041
0.23015873015873015,9916,130.25747244296335
0.22023809523809523,8532,163.15705
0.21031746031746032,7881,181.93631481481526
0.2003968253968254,6185,256.67272727272757
0.19047619047619047,4979,344.9141220238097
0.18055555555555555,4507,397.92005347593505
0.17063492063492064,3285,605.9448076923071
0.16071428571428573,2717,759.2236734693877
0.15079365079365079,2189,1004.0008333333315
0.13988095238095238,1789,1316.0649999999996
0.12996031746031747,1422,1754.7858823529411
0.12003968253968254,1274,2010.7097142857142
0.11011904761904762,1129,2285.5833333333335
0.1001984126984127,947,2795.887500000001
0.09027777777777778,783,3395.8991666666666
0.08035714285714286,643,4035.7200000000007
0.07043650793650794,476,5388.830000000004
0.060515873015873016,370,6665.859999999988
0.050595238095238096,284,7694.966666666665
0.040674603174603176,219,9203.879999999965
0.030753968253968252,172,11420.029999999995
0.020833333333333332,108,15734.440000000006
0.010912698412698412,68,20769.80999999998
0.000992063492063492,5,56750.0
