percentage_of_viral_covered_virality_retweet_percentile_per_user,nb_of_tweets_labeled_as_viral_virality_retweet_percentile_per_user,thresholds_virality_retweet_percentile_per_user
1.0,1357228,0.0
1.0,1357165,0.01
1.0,1357075,0.02
1.0,1356795,0.03
1.0,1356479,0.04
1.0,1355978,0.05
1.0,1355779,0.06
1.0,1355441,0.07
1.0,1355077,0.08
1.0,1353860,0.09
1.0,1353400,0.1
1.0,1352555,0.11
1.0,1351992,0.12
1.0,1351289,0.13
1.0,1349915,0.14
1.0,1348735,0.15
1.0,1348367,0.16
1.0,1347269,0.17
1.0,1345947,0.18
1.0,1344634,0.19
1.0,1342750,0.2
1.0,1341753,0.21
1.0,1340292,0.22
1.0,1336558,0.23
1.0,1335271,0.24
1.0,1333139,0.25
1.0,1331241,0.26
1.0,1328699,0.27
1.0,1326128,0.28
1.0,1324353,0.29
1.0,1323643,0.3
1.0,1320614,0.31
1.0,1319676,0.32
1.0,1314107,0.33
1.0,1307821,0.34
1.0,1305415,0.35
1.0,1298334,0.36
1.0,1297104,0.37
1.0,1293457,0.38
1.0,1289359,0.39
1.0,1286088,0.4
1.0,1282661,0.41
1.0,1277658,0.42
1.0,1272885,0.43
1.0,1266459,0.44
1.0,1260552,0.45
1.0,1253282,0.46
1.0,1249633,0.47
1.0,1247341,0.48
1.0,1243766,0.49
1.0,1236825,0.5
1.0,1225501,0.51
1.0,1214100,0.52
1.0,1203663,0.53
1.0,1194775,0.54
1.0,1189887,0.55
1.0,1183528,0.56
1.0,1174373,0.57
0.9990079365079365,1162858,0.58
0.9990079365079365,1149726,0.59
0.9990079365079365,1138170,0.6
0.9990079365079365,1123765,0.61
0.9990079365079365,1108718,0.62
0.9990079365079365,1093939,0.63
0.9990079365079365,1072643,0.64
0.9970238095238095,1054184,0.65
0.9970238095238095,1029756,0.66
0.996031746031746,1014722,0.67
0.996031746031746,998191,0.68
0.996031746031746,976124,0.69
0.996031746031746,954849,0.7
0.996031746031746,937666,0.71
0.9950396825396826,912003,0.72
0.9950396825396826,881940,0.73
0.9950396825396826,850593,0.74
0.9950396825396826,822465,0.75
0.9940476190476191,795899,0.76
0.9940476190476191,775478,0.77
0.9940476190476191,741226,0.78
0.9940476190476191,707711,0.79
0.9940476190476191,680288,0.8
0.9940476190476191,646190,0.81
0.9930555555555556,610579,0.82
0.9910714285714286,574204,0.83
0.9880952380952381,528701,0.84
0.9861111111111112,490552,0.85
0.9851190476190477,462519,0.86
0.9831349206349206,422834,0.87
0.9791666666666666,375135,0.88
0.9771825396825397,339615,0.89
0.9742063492063492,310028,0.9
0.9662698412698413,272234,0.91
0.9583333333333334,238956,0.92
0.9523809523809523,203539,0.93
0.9424603174603174,160095,0.94
0.9305555555555556,117906,0.95
0.9206349206349206,92538,0.96
0.9067460317460317,61903,0.97
0.876984126984127,46379,0.98
0.816468253968254,20605,0.99
0.503968253968254,814,1.0
